"Source:","C:\Users\eho28\repos\amplificador_200w\amplificador_200w.kicad_sch"
"Date:","28/10/21 09:14:34"
"Tool:","Eeschema (5.99.0-12960-gccd3a1e6a9)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","41"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","0.47uF","C","Capacitor_THT:C_Disc_D9.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C2, C3, ","2","100uF","CP1-Device","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","",""
"C4, C5, ","2","10pF","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C6, C7, ","2","10nF","C","Capacitor_THT:C_Disc_D9.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"D1, ","1","24V","D_Zener_ALT-Device","Diode_THT:D_A-405_P10.16mm_Horizontal","",""
"D2, D3, D4, ","3","1N4007","D_ALT-Device","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","",""
"H1, H2, ","2","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","Mounting Hole without connection",""
"J1, ","1","Conn_01x03","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","Conn_01x03","Conn_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","Conn_01x02","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, ","2","A733","Q_PNP_ECB","Package_TO_SOT_THT:TO-92L_HandSolder","PNP transistor, emitter/collector/base",""
"Q3, Q4, ","2","2SC2229","Q_NPN_ECB","Package_TO_SOT_THT:TO-92L_HandSolder","NPN transistor, emitter/collector/base",""
"Q5, Q7, ","2","TIP42","Q_PNP_BCE","Package_TO_SOT_THT:TO-220-3_Vertical","PNP transistor, base/collector/emitter",""
"Q6, ","1","TIP41","Q_NPN_BCE","Package_TO_SOT_THT:TO-220-3_Vertical","NPN transistor, base/collector/emitter",""
"Q8, Q9, ","2","2SC5200","Q_NPN_BCE","Package_TO_SOT_THT:TO-264-3_Vertical","NPN transistor, base/collector/emitter",""
"R1, R7, ","2","68K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R2, R5, ","2","3.3K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R3, ","1","4.7K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R4, ","1","33K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R6, ","1","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R8, R10, R11, ","3","150","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R9, ","1","10K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R13, R14, ","2","100","R","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal","Resistor",""
"R15, R16, ","2","0.33","R","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P10.16mm_Vertical","Resistor",""
"RV1, ","1","200","R_Potentiometer","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","Potentiometer",""
